date,Open,High,Low,Close,Adj Close,Volume,symbol
2024-03-25,79600,79800,77800,78200,78200,18703996,005930
2024-03-26,79700,80100,79200,79900,79900,30551494,005930
2024-03-27,79200,80000,79200,79800,79800,17424595,005930
2024-03-28,79400,81000,79200,80800,80800,25084812,005930
2024-03-29,81200,82500,80900,82400,82400,27126366,005930
2024-04-01,83200,83300,82000,82000,82000,20116513,005930
2024-04-02,82900,85000,82900,85000,85000,37077944,005930
2024-04-03,84300,85000,83500,84100,84100,30493347,005930
2024-04-04,85200,85500,84300,85300,85300,25248934,005930
2024-04-05,84500,85000,83800,84500,84500,18883752,005930
2024-04-08,85200,86000,84500,84500,84500,18953232,005930
2024-04-09,84500,84900,83100,83600,83600,23725956,005930
2024-04-11,83200,84700,82500,84100,84100,25538009,005930
2024-04-12,84700,84900,83200,83700,83700,17061770,005930
2024-04-15,82900,83200,81200,82200,82200,26663772,005930
2024-04-16,81200,81300,79400,80000,80000,31949845,005930
2024-04-17,80700,80800,78900,78900,78900,22611631,005930
2024-04-18,78800,80100,78300,79600,79600,21370190,005930
2024-04-19,78300,78700,76300,77600,77600,31317563,005930
2024-04-22,77400,77500,75100,76100,76100,30469477,005930
2024-04-23,76400,76800,75500,75500,75500,18717699,005930
2024-04-24,77500,78800,77200,78600,78600,22166150,005930
2024-04-25,77300,77500,76300,76300,76300,15549134,005930
2024-04-26,77800,77900,76500,76700,76700,12755629,005930
2024-04-29,77400,77600,76200,76700,76700,14664474,005930
2024-04-30,77000,78500,76600,77500,77500,19007007,005930
2024-05-02,77600,78600,77300,78000,78000,18900640,005930
2024-05-03,79000,79000,77500,77600,77600,13151889,005930
2024-05-07,79600,81300,79400,81300,81300,26238868,005930
2024-05-08,80800,81400,80500,81300,81300,13089576,005930
2024-05-09,81100,81500,79700,79700,79700,18759935,005930
2024-05-10,80400,81100,78900,79200,79200,16976124,005930
2024-05-13,79400,79900,77600,78400,78400,18652344,005930
2024-05-14,78600,78800,77900,78300,78300,11763992,005930
2024-05-16,80200,80300,78100,78200,78200,20989778,005930
2024-05-17,78600,78800,77200,77400,77400,15918201,005930
2024-05-20,78100,79100,77900,78900,78900,19456783,005930
2024-05-21,78500,79000,78200,78400,78400,13690583,005930
